"length","type","comblength","height","probability"
7,"Single",1,5,0.03757796658025103
7,"Pair",2,5,0.013013681049308248
7,"Pair",2,11,0.018070279011268255
14,"PairSteps",3,7,0.0011560215487379927
14,"Straight",9,11,0.0020494049280847058
14,"Straight",9,12,0.0019708202789755045
14,"PairSteps",2,7,0.005043893662561653
14,"Straight",8,12,0.0032467868184591206
14,"Straight",10,12,0.001102253104610644
12,"Pair",2,11,0.013055895552835577
12,"Straight",5,6,0.008860457418227446
9,"Trio",3,12,0.0027751567963589944
9,"Pair",2,10,0.016613938687535846
9,"FullHouse",5,12,0.002405135890177795
4,"Single",1,5,0.03133941047308537
4,"Trio",3,5,0.00292767316521392
4,"Pair",2,5,0.011777230687337813
13,"FullHouse",5,9,0.003006441535868844
13,"Trio",3,9,0.003047545228742051
14,"PairSteps",3,5,0.001228402146601731
9,"PairSteps",2,11,0.0040517289226841315
9,"Straight",5,14,0.00475476864442841
9,"Straight",6,13,0.004033227877375071
9,"Straight",7,13,0.0021091191652328357
9,"Single",1,1.5,0.013302251577214113
9,"Straight",5,13,0.006549370039407226
9,"Straight",8,9,0.0009250522654529981
9,"Straight",6,8,0.0044217498288653305
9,"Straight",7,9,0.002386634844868735
